"rank","player","age","team","position","games_played","games_started","minutes_per_game","field_goals_made","field_goals_attempted","field_goal_pct","three_point_made","three_point_attempted","three_point_pct","two_point_made","two_point_attempted","two_point_pct","effective_fg_pct","free_throws_made","free_throws_attempted","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","awards"
542,"Trentyn Flowers",19,"LAC","SF",6,0,27,5.3,14.7,0.364,0,2.7,0,5.3,12,0.444,0.364,4,4,1,1.3,4,5.3,0,0,0,1.3,5.3,14.7,NA
543,"Emanuel Miller",24,"CHI","PF",6,0,25,5.8,11.5,0.5,0,1.4,0,5.8,10.1,0.571,0.5,2.9,2.9,1,5.8,5.8,11.5,2.9,1.4,0,0,4.3,14.4,NA
544,"Daniss Jenkins",23,"DET","PG",7,0,23,4.7,15.7,0.3,1.6,11,0.143,3.1,4.7,0.667,0.35,0,3.1,0,0,3.1,3.1,4.7,0,0,1.6,3.1,11,NA
545,"Anton Watson",24,"NYK","SF",9,0,22,6.5,14.7,0.444,0,1.6,0,6.5,13.1,0.5,0.444,0,0,NA,1.6,3.3,4.9,3.3,1.6,0,3.3,4.9,13.1,NA
546,"Tolu Smith",24,"DET","PF",1,0,22,9.8,14.7,0.667,0,0,NA,9.8,14.7,0.667,0.667,3.3,4.9,0.667,6.5,6.5,13.1,0,0,0,3.3,4.9,22.9,NA
547,"Malevy Leons",25,"OKC","SF",6,0,21,0,3.4,0,0,1.7,0,0,1.7,0,0,3.4,6.9,0.5,1.7,3.4,5.1,1.7,0,0,1.7,6.9,3.4,NA
548,"Adama Sanogo",22,"CHI","C",4,0,21,6.9,12,0.571,0,0,NA,6.9,12,0.571,0.571,0,0,NA,8.6,1.7,10.3,1.7,0,0,1.7,1.7,13.7,NA
549,"Taze Moore",26,"POR","SG",2,0,20,3.6,18,0.2,1.8,7.2,0.25,1.8,10.8,0.167,0.25,1.8,3.6,0.5,7.2,7.2,14.4,1.8,3.6,0,3.6,0,10.8,NA
550,"Ron Harper Jr.",24,"DET","SF",1,0,17,2.1,16.9,0.125,0,12.7,0,2.1,4.2,0.5,0.125,4.2,4.2,1,8.5,6.4,14.8,4.2,0,0,0,0,8.5,NA
551,"Isaiah Mobley",25,"PHI","PF",1,0,17,4.2,14.8,0.286,2.1,6.4,0.333,2.1,8.5,0.25,0.357,2.1,4.2,0.5,2.1,6.4,8.5,10.6,2.1,2.1,0,6.4,12.7,NA
552,"Yuri Collins",23,"GSW","PG",2,0,16,2.3,6.8,0.333,0,0,NA,2.3,6.8,0.333,0.333,0,0,NA,4.5,2.3,6.8,9,4.5,0,0,11.3,4.5,NA
553,"Tristen Newton",23,"2TM","SG",8,0,16,2.3,18,0.125,0,6.8,0,2.3,11.3,0.2,0.125,2.3,2.3,1,4.5,4.5,9,4.5,2.3,0,4.5,9,6.8,NA
553,"Tristen Newton",23,"IND","SG",5,0,8,4.5,27,0.167,0,13.5,0,4.5,13.5,0.333,0.167,4.5,4.5,1,0,0,0,4.5,0,0,4.5,9,13.5,NA
553,"Tristen Newton",23,"MIN","SG",3,0,8,0,9,0,0,0,NA,0,9,0,0,0,0,NA,9,9,18,4.5,4.5,0,4.5,9,0,NA
554,"Daishen Nix",22,"MIN","PG",3,0,13,0,2.8,0,0,2.8,0,0,0,NA,0,2.8,5.5,0.5,0,11.1,11.1,8.3,0,0,11.1,2.8,2.8,NA
555,"Skal Labissière",28,"SAC","PF",4,0,12,6,12,0.5,3,3,1,3,9,0.333,0.625,0,0,NA,3,6,9,3,0,0,0,3,15,NA
556,"Braxton Key",27,"GSW","SF",3,0,11,0,13.1,0,0,3.3,0,0,9.8,0,0,9.8,19.6,0.5,3.3,3.3,6.5,0,6.5,0,3.3,0,9.8,NA
557,"Cui Yongxi",21,"BRK","SG",5,0,10,3.6,25.2,0.143,0,10.8,0,3.6,14.4,0.25,0.143,3.6,7.2,0.5,0,7.2,7.2,0,0,0,0,0,10.8,NA
558,"Mac McClung",26,"ORL","SG",2,0,10,0,7.2,0,0,3.6,0,0,3.6,0,0,0,0,NA,0,3.6,3.6,10.8,0,0,0,7.2,0,NA
