"rank","player","age","team","position","games_played","games_started","minutes_per_game","field_goals_made","field_goals_attempted","field_goal_pct","three_point_made","three_point_attempted","three_point_pct","two_point_made","two_point_attempted","two_point_pct","effective_fg_pct","free_throws_made","free_throws_attempted","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","awards"
132,"Luka Dončić",25,"2TM","PG",50,50,1769,9.4,20.9,0.45,3.6,9.8,0.368,5.8,11.1,0.522,0.536,6.3,8,0.782,0.8,7.5,8.3,7.8,1.8,0.4,3.6,2.6,28.7,NA
132,"Luka Dončić",25,"DAL","PG",22,22,785,9.9,21.4,0.464,3.4,9.7,0.354,6.5,11.6,0.555,0.544,5.1,6.7,0.767,0.7,7.7,8.4,7.9,2,0.4,3.4,2.7,28.4,NA
132,"Luka Dončić",25,"LAL","PG",28,28,984,9,20.5,0.438,3.7,9.8,0.379,5.2,10.6,0.493,0.53,7.2,9.1,0.791,0.9,7.4,8.3,7.7,1.6,0.4,3.8,2.5,28.9,NA
133,"Scoot Henderson",20,"POR","PG",66,10,1759,5.9,14,0.419,2.1,6.1,0.354,3.7,7.9,0.469,0.496,3.2,4.2,0.767,1.1,3,4.1,6.9,1.4,0.3,3.6,3.7,17.1,NA
134,"Wendell Carter Jr.",25,"ORL","C",68,51,1758,4.6,10.1,0.46,0.8,3.2,0.234,3.9,6.8,0.568,0.498,2.6,3.6,0.737,3.1,7,10.1,2.7,1.1,0.8,1.6,4.1,12.7,NA
135,"Collin Sexton",26,"UTA","SG",63,61,1758,8.5,17.8,0.48,2.3,5.5,0.406,6.3,12.2,0.513,0.543,4.4,5.1,0.865,1.2,2.3,3.5,5.4,1,0.1,3.3,2.9,23.7,NA
136,"Mike Conley",37,"MIN","PG",71,64,1756,3.8,9.6,0.4,2.6,6.4,0.41,1.2,3.2,0.38,0.535,1.7,1.8,0.9,0.7,3.1,3.7,6.5,1.6,0.3,1.5,2.3,11.9,NA
137,"Amir Coffey",27,"LAC","SG",72,13,1748,4.9,10.5,0.471,2.1,5.1,0.409,2.9,5.4,0.529,0.57,2.4,2.7,0.891,0.7,2.7,3.3,1.6,0.8,0.1,0.9,2.5,14.3,NA
138,"Jimmy Butler",35,"2TM","SF",55,55,1746,6.2,12.3,0.504,0.7,2.1,0.308,5.5,10.2,0.546,0.531,6.8,8.1,0.842,2.6,3.5,6.1,6.1,1.6,0.4,1.5,1.1,19.9,NA
138,"Jimmy Butler",35,"MIA","PF",25,25,766,6.7,12.4,0.54,0.6,1.7,0.361,6.1,10.7,0.568,0.565,6.1,7.6,0.801,2.6,3.6,6.2,5.6,1.3,0.5,1.4,1.1,20,NA
138,"Jimmy Butler",35,"GSW","SF",30,30,980,5.8,12.3,0.476,0.7,2.5,0.279,5.1,9.8,0.526,0.504,7.4,8.5,0.87,2.6,3.5,6.1,6.5,1.8,0.3,1.6,1.1,19.8,NA
139,"Aaron Wiggins",26,"OKC","SG",76,26,1744,7.3,15,0.488,2.7,7,0.383,4.6,8,0.578,0.577,1.5,1.8,0.831,1.7,4.4,6.1,2.8,1.2,0.4,1.4,2.1,18.9,NA
140,"Walker Kessler",23,"UTA","C",58,58,1740,5.8,8.7,0.663,0.1,0.7,0.176,5.6,8,0.706,0.671,1.6,3.1,0.52,5.5,9.1,14.6,2,0.7,2.9,1.8,2.7,13.3,NA
141,"De'Andre Hunter",27,"2TM","SF",64,9,1740,7.4,15.8,0.47,3.2,8,0.405,4.2,7.7,0.537,0.573,4.4,5.3,0.846,0.9,4.4,5.3,1.9,1,0.3,1.7,3.2,22.5,NA
141,"De'Andre Hunter",27,"ATL","SF",37,4,1064,7.7,16.6,0.461,3.3,8.4,0.393,4.4,8.3,0.531,0.56,5.1,6,0.858,0.9,4,4.9,1.9,1,0.2,2,3,23.8,NA
141,"De'Andre Hunter",27,"CLE","SF",27,5,676,7,14.4,0.485,3.2,7.5,0.426,3.8,6.9,0.55,0.596,3.4,4.2,0.821,0.9,5.1,6,1.9,1,0.4,1.2,3.6,20.6,NA
142,"Ochai Agbaji",24,"TOR","SG",64,45,1739,5.5,11.1,0.498,2.1,5.2,0.399,3.4,5.8,0.587,0.593,0.7,1,0.708,1.3,3.7,5,2,1.2,0.6,1.1,2.6,13.8,NA
143,"Brandin Podziemski",21,"GSW","SG",64,33,1716,5.9,13.2,0.445,2.4,6.5,0.372,3.5,6.7,0.516,0.537,1.5,2,0.758,1.4,5.5,6.8,4.6,1.4,0.3,1.6,2,15.7,NA
144,"Jabari Smith Jr.",21,"HOU","PF",57,39,1716,5.2,11.9,0.438,2.1,5.8,0.354,3.1,6.1,0.519,0.525,2.2,2.6,0.825,2.2,6.2,8.4,1.3,0.5,0.9,1.3,2.6,14.6,NA
145,"Anthony Davis",31,"2TM","C",51,51,1706,9.9,19.2,0.516,0.7,2.6,0.282,9.2,16.6,0.553,0.536,6,7.8,0.775,2.8,9.6,12.5,3.8,1.2,2.3,2.4,2.1,26.6,NA
145,"Anthony Davis",31,"LAL","C",42,42,1440,10,18.9,0.528,0.7,2.3,0.298,9.3,16.6,0.56,0.546,6.3,8,0.788,3,9.5,12.5,3.5,1.4,2.3,2.3,2,27,NA
145,"Anthony Davis",31,"DAL","PF",9,9,266,9.5,20.6,0.461,0.9,4.1,0.233,8.5,16.5,0.516,0.484,4.5,6.5,0.688,2,10.3,12.3,5.4,0.7,2.7,2.7,2.2,24.4,NA
146,"Bradley Beal",31,"PHO","SG",53,38,1702,7.3,14.7,0.497,2.2,5.6,0.386,5.1,9.1,0.565,0.571,2.3,2.9,0.803,0.7,3,3.7,4.1,1.2,0.6,2.1,2.9,19.1,NA
147,"Georges Niang",31,"2TM","PF",79,3,1697,6.1,13.2,0.461,3.5,8.7,0.406,2.5,4.5,0.569,0.595,1,1.2,0.793,1,4.8,5.8,2.4,0.6,0.3,1.7,4.3,16.6,NA
147,"Georges Niang",31,"CLE","PF",51,1,1053,5.7,11.9,0.477,3.1,7.7,0.4,2.6,4.2,0.618,0.606,0.8,1,0.793,1.2,5.3,6.5,2.3,0.6,0.2,1.6,4.4,15.2,NA
147,"Georges Niang",31,"ATL","PF",28,2,644,6.7,15.2,0.441,4.2,10.3,0.413,2.5,4.9,0.5,0.581,1.3,1.6,0.793,0.7,3.9,4.6,2.5,0.6,0.4,1.9,4,19,NA
148,"Jakob Poeltl",29,"TOR","C",57,56,1686,7.8,12.4,0.627,0,0.1,0.333,7.7,12.3,0.628,0.628,2.1,3.1,0.674,4,7.6,11.7,3.4,1.4,1.5,2.4,3.8,17.6,NA
149,"Scotty Pippen Jr.",24,"MEM","PG",79,21,1683,6.1,12.7,0.48,1.9,4.7,0.397,4.2,8,0.528,0.553,2.6,3.7,0.713,1.4,4.1,5.5,7.4,2.2,0.6,3,4.3,16.7,NA
150,"Kevin Huerter",26,"2TM","SG",69,31,1679,5.5,13,0.425,2.8,8.4,0.338,2.7,4.6,0.587,0.535,0.8,1.1,0.714,0.6,3.8,4.4,3.3,1.4,0.5,1.4,2.6,14.6,NA
150,"Kevin Huerter",26,"SAC","SG",43,15,899,5.1,12.4,0.413,2.5,8.2,0.302,2.6,4.2,0.629,0.513,0.8,1.1,0.714,0.8,4,4.8,3,1.4,0.6,1.5,2.8,13.5,NA
150,"Kevin Huerter",26,"CHI","SG",26,16,780,6,13.6,0.439,3.2,8.6,0.376,2.7,5,0.546,0.558,0.7,1,0.714,0.5,3.4,3.9,3.8,1.4,0.3,1.4,2.4,15.8,NA
151,"Santi Aldama",24,"MEM","PF",65,16,1660,6.8,14.1,0.483,2.6,7.1,0.368,4.2,7,0.599,0.576,1.4,2,0.691,2,7,9,4.1,1.1,0.6,1.5,1.6,17.6,NA
152,"A.J. Green",25,"MIL","SG",73,7,1659,3.9,9.2,0.429,3.4,7.9,0.427,0.6,1.3,0.443,0.612,0.5,0.6,0.815,0.4,3.4,3.8,2.3,0.8,0.2,0.9,3.4,11.7,NA
153,"Al Horford",38,"BOS","C",60,42,1659,4.2,10,0.423,2.5,6.8,0.363,1.8,3.2,0.551,0.547,0.7,0.8,0.895,1.7,6.3,8,2.8,0.8,1.1,1,1.8,11.7,NA
154,"Terry Rozier",30,"MIA","PG",64,23,1658,5.4,13.8,0.391,2,6.7,0.295,3.4,7.1,0.48,0.462,2,2.3,0.852,1,4.2,5.2,3.6,0.8,0.3,1.7,1.6,14.7,NA
155,"Peyton Watson",22,"DEN","SF",68,18,1656,4.4,9.3,0.477,1,3,0.353,3.4,6.3,0.534,0.533,2.1,3,0.693,1,4,5.1,2,1,2,1.2,2.7,12,NA
156,"Moses Moody",22,"GSW","SG",74,34,1649,5.4,12.4,0.433,2.8,7.4,0.374,2.6,5,0.519,0.544,2.3,2.9,0.797,1.1,3,4.1,2.1,1.3,0.7,1.2,2.5,15.8,NA
157,"Tristan Da Silva",23,"ORL","SF",74,38,1629,4.4,10.7,0.412,1.8,5.3,0.335,2.6,5.4,0.488,0.495,1.2,1.4,0.873,1.6,3.8,5.4,2.5,0.7,0.4,1.2,2.1,11.8,NA
158,"Donte DiVincenzo",28,"MIN","SG",62,10,1606,5.6,13.3,0.422,3.9,9.8,0.397,1.7,3.5,0.49,0.568,1.1,1.4,0.778,0.7,4.4,5.1,5,1.6,0.4,2.2,2.6,16.2,NA
159,"Isaiah Joe",25,"OKC","SG",74,16,1604,5.8,13.2,0.44,4.3,10.5,0.412,1.5,2.7,0.549,0.604,1,1.3,0.821,0.9,3.5,4.4,2.7,1.1,0.2,0.9,2.5,17,NA
160,"Corey Kispert",25,"WAS","SF",61,0,1602,5.7,12.7,0.451,2.7,7.4,0.364,3,5.3,0.574,0.558,1.7,2,0.852,0.8,3.3,4.1,2.3,0.6,0.3,1.4,2.2,15.8,NA
161,"Caris LeVert",30,"2TM","SG",64,3,1596,6.3,13.5,0.467,2.4,6.4,0.373,3.9,7.1,0.552,0.556,2.5,3.5,0.71,0.9,3.7,4.6,4.8,1.3,0.7,1.7,2.2,17.5,NA
161,"Caris LeVert",30,"CLE","SF",38,3,904,5.4,11.9,0.453,2.4,5.9,0.405,3,6,0.5,0.554,2.3,3.3,0.699,0.9,3.4,4.3,5.6,1.3,0.8,2,1.9,15.5,NA
161,"Caris LeVert",30,"ATL","SG",26,0,692,7.5,15.7,0.482,2.4,7.1,0.338,5.2,8.6,0.6,0.558,2.7,3.7,0.722,1,4,5,3.9,1.2,0.7,1.3,2.7,20.2,NA
162,"Miles McBride",24,"NYK","SG",64,10,1593,5,12.4,0.406,2.6,7.1,0.369,2.4,5.3,0.455,0.511,1.2,1.4,0.813,1.1,2.6,3.6,4.2,1.5,0.4,0.9,2.4,13.8,NA
163,"Isaiah Hartenstein",26,"OKC","C",57,53,1590,6.3,10.9,0.581,0,0.4,0,6.3,10.4,0.605,0.581,1.8,2.6,0.675,3.7,10.1,13.8,5,1.1,1.4,2.2,3.9,14.4,NA
164,"Gradey Dick",21,"TOR","SG",54,54,1587,6,14.7,0.41,2.6,7.4,0.35,3.4,7.3,0.47,0.498,3,3.5,0.858,1,3.4,4.4,2.2,1.1,0.2,1.9,2.7,17.6,NA
165,"Paolo Banchero",22,"ORL","PF",46,46,1582,9.4,20.7,0.452,2,6.2,0.32,7.4,14.5,0.509,0.5,6.4,8.8,0.727,1.2,6.7,7.9,5,0.8,0.6,3.1,2.2,27.1,NA
166,"Patrick Williams",23,"CHI","PF",63,36,1576,4.7,11.8,0.397,2.2,6.2,0.353,2.5,5.6,0.447,0.49,1.4,1.9,0.723,1,4.4,5.4,2.8,1.1,0.7,2,2,12.9,NA
167,"Obi Toppin",26,"IND","PF",79,4,1545,7.4,14,0.529,2.6,7,0.365,4.8,6.9,0.695,0.621,2.1,2.7,0.781,1.3,6.1,7.4,3,1.1,0.7,1.6,2.5,19.4,NA
168,"Grayson Allen",29,"PHO","SG",64,7,1544,5.1,11.4,0.448,3.5,8.2,0.426,1.6,3.2,0.504,0.6,2.2,2.7,0.816,0.8,3.7,4.5,3.2,1.3,0.4,1.7,2.2,15.9,NA
169,"Sam Hauser",27,"BOS","PF",71,19,1541,5,11.1,0.451,3.9,9.3,0.416,1.1,1.8,0.64,0.627,0.3,0.3,1,1,4.2,5.2,1.5,1,0.3,0.5,2,14.1,NA
170,"Ziaire Williams",23,"BRK","SF",63,45,1541,5,12.1,0.412,2.4,7.1,0.341,2.6,5.1,0.509,0.511,2.4,2.9,0.821,1.4,5.3,6.7,2,1.4,0.7,1.6,3.5,14.8,NA
171,"Gabe Vincent",28,"LAL","PG",72,11,1527,4,9.9,0.4,2.6,7.3,0.353,1.4,2.6,0.532,0.53,0.4,0.5,0.714,0.5,1.7,2.2,2.3,1.2,0.3,1,3.6,10.8,NA
172,"Victor Wembanyama",21,"SAS","C",46,46,1527,9.6,20.2,0.476,3.3,9.5,0.352,6.3,10.7,0.586,0.559,3.7,4.5,0.836,1.9,10,11.9,4,1.2,4.1,3.5,2.5,26.3,NA
173,"Jerami Grant",30,"POR","PF",47,47,1524,5.1,13.6,0.373,2.6,7,0.365,2.5,6.6,0.381,0.467,3.3,3.9,0.849,0.6,3.2,3.9,2.4,1,1.1,1.5,2.6,16,NA
174,"Jonas Valančiūnas",32,"2TM","C",81,21,1524,8.1,14.8,0.55,0.2,0.9,0.216,8,13.9,0.571,0.557,3.4,3.9,0.879,4.5,10.3,14.8,3.9,0.9,1.1,2.8,4.3,19.9,NA
174,"Jonas Valančiūnas",32,"WAS","C",49,12,983,8.5,15.5,0.547,0.3,1,0.259,8.2,14.5,0.567,0.556,3.5,3.9,0.896,4.4,10.4,14.8,4,0.8,1,3.2,3.6,20.7,NA
174,"Jonas Valančiūnas",32,"SAC","C",32,9,541,7.6,13.6,0.556,0.1,0.7,0.1,7.5,13,0.579,0.559,3.3,3.9,0.847,4.7,10.2,14.8,3.7,1,1.2,2.1,5.6,18.6,NA
175,"Kyle Filipowski",21,"UTA","C",72,27,1522,6.1,12.3,0.502,1.8,5.2,0.35,4.3,7,0.614,0.576,2.2,3.4,0.65,2.6,7.8,10.4,3.3,1.1,0.5,2.4,4,16.3,NA
176,"Ja Morant",25,"MEM","PG",50,50,1519,9.6,21.1,0.454,2.1,6.8,0.309,7.5,14.3,0.523,0.504,6.2,7.6,0.824,0.8,4.1,4.9,8.6,1.4,0.3,4.4,2.7,27.5,NA
177,"Matas Buzelis",20,"CHI","SF",80,31,1511,6,13.2,0.454,2.3,6.3,0.361,3.7,6.9,0.54,0.541,2.1,2.6,0.815,1.3,5.3,6.6,1.9,0.7,1.8,1.8,3,16.4,NA
178,"LaMelo Ball",23,"CHO","PG",47,47,1505,9.7,24,0.405,4.3,12.6,0.339,5.4,11.4,0.478,0.494,4.6,5.5,0.843,1.1,4.4,5.5,8.3,1.3,0.3,4,3.8,28.3,NA
179,"Dalton Knecht",23,"LAL","SF",78,16,1494,6.2,13.4,0.461,3.1,8.2,0.376,3.1,5.2,0.594,0.576,1.5,2,0.762,0.9,4.3,5.2,1.6,0.6,0.2,0.9,2.2,17,NA
180,"Kevin Porter Jr.",24,"2TM","SG",75,4,1482,7.1,15.8,0.449,1.3,4.3,0.311,5.8,11.5,0.501,0.492,3.2,4.1,0.769,1,5.7,6.8,6.2,2,0.3,3.3,2.9,18.7,NA
180,"Kevin Porter Jr.",24,"LAC","SG",45,2,884,7,16.6,0.423,1.1,4.3,0.245,5.9,12.3,0.485,0.455,2,3.1,0.645,1.2,5.3,6.5,5.9,1.8,0.4,3.4,2.9,17.1,NA
180,"Kevin Porter Jr.",24,"MIL","SG",30,2,598,7.3,14.7,0.494,1.7,4.3,0.408,5.5,10.5,0.529,0.553,4.9,5.6,0.871,0.8,6.3,7.1,6.7,2.3,0.1,3.1,2.9,21.2,NA
181,"D'Angelo Russell",28,"2TM","PG",58,36,1480,6.1,15.5,0.39,2.7,8.8,0.314,3.3,6.8,0.489,0.479,2.9,3.5,0.834,0.5,3.5,3.9,7.2,1.4,0.6,2.6,2.8,17.8,NA
181,"D'Angelo Russell",28,"LAL","PG",29,10,763,6.1,14.7,0.415,2.6,7.9,0.333,3.4,6.7,0.51,0.505,2.1,2.5,0.849,0.4,3.4,3.8,6.4,1.1,0.2,2.4,2.5,16.9,NA
181,"D'Angelo Russell",28,"BRK","PG",29,26,717,6,16.4,0.367,2.9,9.6,0.297,3.2,6.8,0.467,0.454,3.8,4.6,0.826,0.6,3.5,4.1,8.1,1.7,1,2.9,3.1,18.7,NA
182,"Lauri Markkanen",27,"UTA","PF",47,47,1476,7.2,17.1,0.423,3.4,9.7,0.346,3.9,7.3,0.525,0.521,4,4.5,0.876,1.8,5,6.8,1.7,0.8,0.4,1.6,1.9,21.8,NA
183,"Luke Kennard",28,"MEM","SG",65,11,1472,5,10.5,0.478,2.8,6.4,0.433,2.3,4.2,0.547,0.609,1.2,1.4,0.895,0.9,3.6,4.5,5.3,1.2,0.1,1.8,1.4,14.1,NA
184,"Jamal Shead",22,"TOR","PG",75,11,1467,5,12.4,0.405,1.8,5.5,0.323,3.2,6.9,0.47,0.476,1.3,1.7,0.768,0.7,2.1,2.8,7.8,1.4,0.2,2.9,3.9,13.1,NA
185,"Aaron Gordon",29,"DEN","PF",51,42,1447,6.6,12.4,0.531,1.9,4.3,0.436,4.7,8.1,0.582,0.607,3.6,4.5,0.81,2,4.2,6.1,4.1,0.6,0.3,1.8,2,18.6,NA
186,"Isaiah Stewart",23,"DET","C",72,4,1434,4.4,7.9,0.559,0.4,1.3,0.321,4,6.6,0.607,0.586,1.7,2.2,0.759,3.3,6.8,10,3.1,0.7,2.5,1.7,4.6,10.9,NA
187,"Brice Sensabaugh",21,"UTA","SF",71,15,1432,6.9,15.1,0.459,3.9,9.4,0.422,3,5.7,0.52,0.59,1.6,1.8,0.89,1.1,4.2,5.3,2.8,1.2,0.2,2.7,2.8,19.4,NA
188,"Goga Bitadze",25,"ORL","C",70,42,1430,5.2,8.5,0.611,0.1,0.7,0.107,5.1,7.8,0.656,0.615,2.1,3.3,0.639,4.2,7.5,11.7,3.4,1.2,2.5,1.8,3.8,12.6,NA
189,"Kel'el Ware",20,"MIA","C",64,36,1422,6.5,11.7,0.554,0.9,2.8,0.315,5.6,8.9,0.629,0.592,1.2,1.7,0.687,2.9,9,12,1.5,1,1.8,1.4,2.8,15.1,NA
190,"Tari Eason",23,"HOU","PF",57,16,1420,6.9,14.2,0.487,1.6,4.7,0.342,5.3,9.5,0.557,0.543,2,2.6,0.76,3.2,5.9,9.2,2.1,2.5,1.3,1.6,3.4,17.4,NA
191,"Zach Edey",22,"MEM","C",66,55,1416,6.4,11,0.58,0.5,1.3,0.346,5.9,9.7,0.612,0.6,2.3,3.2,0.709,5.9,8,13.9,1.7,0.9,2.2,2.2,4.6,15.5,NA
192,"T.J. McConnell",32,"IND","PG",79,1,1415,8.2,15.9,0.519,0.4,1.2,0.306,7.9,14.6,0.537,0.531,1.5,2,0.74,1.1,3.8,4.9,8.9,2.1,0.5,2.8,2,18.3,NA
193,"Terance Mann",28,"2TM","SG",67,13,1414,5.2,10.5,0.496,1.5,4.1,0.368,3.7,6.4,0.58,0.569,1.2,1.7,0.691,1.7,3.3,5.1,3.1,1.2,0.4,1.2,3.3,13.2,NA
193,"Terance Mann",28,"LAC","SG",37,12,732,4.3,9.6,0.446,1.3,3.7,0.347,3,5.9,0.508,0.513,1.1,1.6,0.719,1.6,3.7,5.3,2.9,1.4,0.5,1.2,3.3,11,NA
193,"Terance Mann",28,"ATL","SG",30,1,682,6.2,11.5,0.541,1.8,4.6,0.386,4.4,6.9,0.646,0.619,1.3,1.9,0.667,1.9,3,4.9,3.3,1,0.2,1.2,3.2,15.5,NA
194,"Ryan Dunn",22,"PHO","SF",74,44,1410,5.2,12.2,0.43,2.1,6.7,0.311,3.1,5.4,0.577,0.516,0.5,1,0.487,2.3,4.5,6.8,1.5,1.1,1,1,4.1,13,NA
195,"Sam Merrill",28,"CLE","SG",71,4,1401,4.4,10.9,0.406,3.5,9.5,0.372,0.9,1.4,0.625,0.567,0.7,0.7,0.966,1,3.1,4,2.8,1.4,0.4,0.9,3.2,13.1,NA
196,"Ayo Dosunmu",25,"CHI","SG",46,26,1394,5.7,11.6,0.492,1.6,4.9,0.328,4.1,6.7,0.612,0.561,1.6,2,0.785,0.7,3.5,4.2,5.4,1.1,0.5,1.8,2.7,14.6,NA
197,"Ty Jerome",27,"CLE","SG",70,3,1392,8.2,16,0.516,2.9,6.5,0.439,5.4,9.4,0.57,0.606,3.3,3.8,0.872,1.3,3.2,4.5,6.1,2,0.1,2.4,2.6,22.7,NA
198,"Julian Strawther",22,"DEN","SG",65,4,1384,5.5,12.6,0.432,2.4,7,0.349,3,5.6,0.535,0.529,1.9,2.3,0.822,0.4,3.3,3.7,2.2,1,0.4,1.5,3.9,15.3,NA
199,"Nick Smith Jr.",20,"CHO","SG",60,27,1369,5.8,14.9,0.391,2.7,8,0.34,3.1,6.9,0.45,0.482,1.1,1.2,0.935,0.3,3,3.4,3.8,0.4,0.2,2.2,2.1,15.5,NA
200,"Jaime Jaquez Jr.",23,"MIA","SF",66,17,1368,5.6,12.2,0.461,1,3.1,0.311,4.6,9,0.513,0.501,2.8,3.7,0.754,2.2,5.4,7.6,4.4,1.6,0.4,2.6,2.1,15,NA
201,"Nicolas Batum",36,"LAC","PF",78,8,1367,2.7,6.3,0.437,2.3,5.3,0.433,0.4,0.9,0.457,0.622,0.4,0.6,0.81,1.2,4.5,5.7,2.2,1.4,0.9,0.9,2.9,8.2,NA
202,"Jose Alvarado",26,"NOP","PG",56,23,1366,5.4,13.7,0.392,2.9,8.1,0.359,2.5,5.6,0.439,0.498,1.6,2,0.811,0.7,2.9,3.6,6.8,2,0.4,2.3,2.4,15.3,NA
203,"Jeremy Sochan",21,"SAS","PF",54,23,1364,6.6,12.4,0.535,0.7,2.4,0.308,5.9,10,0.59,0.565,2.3,3.3,0.696,3.4,5.9,9.3,3.4,1.2,0.7,2.2,3.5,16.3,NA
204,"Luke Kornet",29,"BOS","C",73,16,1361,4.9,7.4,0.668,0,0.1,0,4.9,7.3,0.675,0.668,1.8,2.6,0.691,5,5.2,10.3,3.1,1,1.9,0.8,3.1,11.7,NA
205,"Trey Lyles",29,"SAC","PF",69,5,1349,4.2,10,0.42,2.2,6.4,0.34,2,3.6,0.559,0.528,1.5,2.1,0.7,2.1,6.3,8.4,2.2,1.1,0.6,1,2.3,12,NA
206,"Jake LaRavia",23,"2TM","PF",66,0,1349,4.3,9,0.475,1.6,3.8,0.423,2.7,5.2,0.513,0.564,2.1,3.1,0.678,2.4,4.5,6.9,4.2,1.7,0.6,2.3,3.5,12.2,NA
206,"Jake LaRavia",23,"MEM","PF",47,0,982,4.3,8.8,0.49,1.5,3.3,0.444,2.9,5.5,0.517,0.573,2.5,3.5,0.698,2.5,5.1,7.5,4.9,1.6,0.7,2.5,3.4,12.6,NA
206,"Jake LaRavia",23,"SAC","PF",19,0,367,4.1,9.4,0.438,2,5.1,0.385,2.2,4.3,0.5,0.542,1.1,1.9,0.579,2.3,3,5.3,2.5,1.8,0.3,1.7,3.9,11.3,NA
207,"Bogdan Bogdanović",32,"2TM","SG",54,4,1348,5.6,13.1,0.427,2.8,7.7,0.363,2.8,5.4,0.517,0.534,1.5,1.8,0.879,0.6,3.6,4.2,3.9,1.1,0.3,2,3.4,15.6,NA
207,"Bogdan Bogdanović",32,"ATL","SG",24,0,598,5,13.5,0.371,2.6,8.8,0.301,2.3,4.7,0.5,0.469,1.8,2,0.882,0.7,3.3,4,2.9,1.2,0.4,2.2,3.4,14.4,NA
207,"Bogdan Bogdanović",32,"LAC","SG",30,4,750,6.1,12.9,0.474,2.9,6.9,0.427,3.2,6,0.528,0.588,1.3,1.5,0.875,0.6,3.9,4.5,4.7,1,0.2,1.8,3.4,16.5,NA
208,"Justin Champagnie",23,"WAS","SF",62,31,1340,5.6,11,0.511,2,5.2,0.383,3.7,5.9,0.624,0.601,1.3,2,0.685,3,6.4,9.4,1.6,1.7,1,1.5,3,14.6,NA
209,"Paul George",34,"PHI","PF",41,41,1334,6.6,15.4,0.43,2.6,7.2,0.358,4,8.1,0.493,0.514,2.1,2.6,0.814,0.6,5.3,5.9,4.8,2,0.5,2.9,2.7,17.9,NA
210,"Ausar Thompson",22,"DET","SF",59,48,1328,6.7,12.5,0.535,0.3,1.3,0.224,6.4,11.1,0.572,0.547,2.5,3.8,0.641,3,5.2,8.2,3.6,2.7,1.1,2.2,4.4,16.1,NA
211,"Donovan Clingan",20,"POR","C",67,37,1324,4.9,9.1,0.539,0.4,1.3,0.286,4.5,7.7,0.582,0.56,1.7,2.8,0.596,5.9,8.4,14.3,2.1,0.9,3,2,5.1,11.9,NA
212,"Jordan Hawkins",22,"NOP","SG",56,9,1321,5.6,15.2,0.372,3,9,0.331,2.6,6.1,0.433,0.471,2.2,2.7,0.816,0.7,3.6,4.3,1.8,0.8,0.6,1.6,1.4,16.5,NA
213,"Tyrese Martin",25,"BRK","SG",60,11,1315,5.2,12.7,0.406,2.7,7.7,0.351,2.5,5,0.492,0.513,1.3,1.6,0.793,1.6,4.4,6,3.3,0.9,0.2,2,2.1,14.3,NA
214,"Mason Plumlee",34,"PHO","C",74,21,1300,3.5,5.6,0.619,0,0.1,0,3.5,5.5,0.631,0.619,2.3,3.5,0.648,3.2,9.4,12.6,3.7,0.9,1.3,1.6,4.3,9.2,NA
215,"Jonathan Mogbo",23,"TOR","PF",63,18,1286,4.4,10,0.438,0.5,2,0.243,3.9,8,0.486,0.462,1.7,2.3,0.732,3.1,5.7,8.7,4.1,1.5,1,2,3.8,10.9,NA
216,"Jalen Johnson",23,"ATL","SF",36,36,1284,7.6,15.2,0.5,1.2,4,0.312,6.4,11.2,0.566,0.541,2.6,3.5,0.746,1.7,8.3,10.1,5.1,1.6,1,3,1.9,19.1,NA
217,"Max Strus",28,"CLE","SF",50,37,1273,4.7,10.5,0.442,3.2,8.3,0.386,1.5,2.3,0.65,0.594,0.8,1,0.824,1.5,4.6,6.1,4.5,0.7,0.3,1.5,2.9,13.3,NA
218,"Johnny Juzang",23,"UTA","SG",64,18,1270,5.8,13.5,0.429,3.3,8.9,0.376,2.4,4.6,0.534,0.554,1.3,1.5,0.849,1.2,4,5.2,1.9,1.1,0.2,1,3.6,16.2,NA
219,"Ron Holland",19,"DET","SF",81,2,1266,5.6,11.8,0.474,1,4.3,0.238,4.6,7.5,0.608,0.517,2.6,3.5,0.754,1.1,5.1,6.2,2.3,1.4,0.5,2,4,14.8,NA
220,"Javonte Green",31,"2TM","SG",68,19,1258,3.5,8.2,0.429,1.3,4,0.326,2.2,4.2,0.527,0.509,1.6,2.2,0.724,1.7,4.6,6.2,1.6,1.9,0.9,0.9,2.8,9.9,NA
220,"Javonte Green",31,"NOP","SG",50,18,1092,3.3,7.4,0.446,1.3,3.6,0.352,2,3.8,0.534,0.531,1.6,2.2,0.758,1.6,4.3,5.9,1.5,1.8,1,0.9,2.5,9.5,NA
220,"Javonte Green",31,"CLE","SG",18,1,166,5,13.7,0.365,1.7,7.2,0.242,3.3,6.5,0.5,0.429,1.1,2.2,0.5,2.2,6.5,8.7,2.4,2.2,0.2,0.9,4.6,12.8,NA
221,"Nick Richards",27,"2TM","C",57,43,1256,5.9,9.9,0.591,0,0.1,0,5.9,9.9,0.594,0.591,3.4,4.6,0.744,4.2,9.1,13.4,1.4,0.4,1.6,2.3,4,15.2,NA
221,"Nick Richards",27,"CHO","C",21,9,440,5.2,9.3,0.561,0,0.1,0,5.2,9.2,0.566,0.561,4.8,7.1,0.678,4.2,8.8,12.9,2.3,0.6,2.1,2.7,3.9,15.3,NA
